hour_utc,fills,fee_micro_usdc,largest_single_fee_micro_usdc
2026-07-27T03,44,6079435,1375404
2026-07-27T04,40,10004409,2026087
2026-07-27T05,56,3123521,373975
2026-07-27T06,43,8066180,2036493
2026-07-27T07,32,4974372,2760024
2026-07-27T08,49,6783314,1028853
2026-07-27T09,81,10562799,2599418
2026-07-27T10,67,3807372,809187
2026-07-27T11,49,9710050,8060708
2026-07-27T12,32,1571370,1174666
2026-07-27T13,83,52405917,24071600
2026-07-27T14,57,21474802,12672452
2026-07-27T15,37,7410909,1488338
2026-07-27T16,35,13418707,6604363
2026-07-27T17,37,77394675,53400859
2026-07-27T18,18,868956,798890
2026-07-27T19,22,2688991,1794546
2026-07-27T20,91,8178879,1463888
